대상,정격용량,년,월,일,시,인버터출력,경사일사량,수평일사량,표면온도,주위온도
경기도연성,1490,2016,1,5,2,0,0,0,1,2
경기도연성,1490,2016,1,5,3,0,0,0,2,2
경기도연성,1490,2016,1,5,4,0,0,0,1,2
경기도연성,1490,2016,1,5,5,0,0,0,1,2
경기도연성,1490,2016,1,5,6,0,16,0,1,2
경기도연성,1490,2016,1,5,7,0,0,0,0,1
경기도연성,1490,2016,1,5,8,0,28,0,0,1
경기도연성,1490,2016,1,5,9,75,155,0,1,1
경기도연성,1490,2016,1,5,10,264,131,35,8,3
경기도연성,1490,2016,1,5,11,687,198,119,17,6
경기도연성,1490,2016,1,5,12,746,160,95,13,5
경기도연성,1490,2016,1,5,13,832,263,127,12,5
경기도연성,1490,2016,1,5,14,835,218,131,11,5
경기도연성,1490,2016,1,5,15,600,191,103,12,6
경기도연성,1490,2016,1,5,16,249,105,38,7,5
경기도연성,1490,2016,1,5,17,24,40,0,3,4
경기도연성,1490,2016,1,5,18,0,31,0,1,3
경기도연성,1490,2016,1,5,19,0,0,0,-1,2
경기도연성,1490,2016,1,5,20,0,26,0,1,2
경기도연성,1490,2016,1,5,21,0,0,0,0,2
경기도연성,1490,2016,1,5,22,0,0,0,-1,1
경기도연성,1490,2016,1,5,23,0,0,0,-2,1
경기도연성,1490,2016,1,6,0,0,0,0,-2,0
경기도연성,1490,2016,1,6,1,0,16,0,0,1
경기도연성,1490,2016,1,6,2,0,0,0,-2,0
경기도연성,1490,2016,1,6,3,0,14,0,-1,0
경기도연성,1490,2016,1,6,4,0,0,0,1,1
경기도연성,1490,2016,1,6,5,0,0,0,1,1
경기도연성,1490,2016,1,6,6,0,11,0,1,1
경기도연성,1490,2016,1,6,7,0,0,0,1,2
경기도연성,1490,2016,1,6,8,1,16,0,1,2
경기도연성,1490,2016,1,6,9,114,71,0,9,4
경기도연성,1490,2016,1,6,10,278,71,50,17,8
경기도연성,1490,2016,1,6,11,312,67,62,14,8
경기도연성,1490,2016,1,6,12,302,23,76,15,9
경기도연성,1490,2016,1,6,13,351,93,76,12,8
