시간,부하(kW),ESS,,풍력 #1,,풍력 #2,,풍력 #3,,풍력 #4,,"수평면일사량
(w/m2)","경사면일사량
(w/m2)","태양광 #1
유효전력(kW)","태양광 #2
유효전력(kW)","태양광 #3
유효전력(kW)","태양광 #4
유효전력(kW)","디젤 #1
유효전력(kW)","디젤 #2
유효전력(kW)","디젤 #3
유효전력(kW)"
,,SOC(%),유효전력(kW),풍속(m/s),유효전력(kW),풍속(m/s),유효전력(kW),풍속(m/s),유효전력(kW),풍속(m/s),유효전력(kW),,,,,,,,,
201601010000 ,121.735,47,109.857,3.128,3.07,4.154,3.559,3.718,3.65,3.312,1.599,0,0,0,0,0,0,0,0,0
201601010015 ,121.356,46.1,111.953,4.174,2.471,4.071,4.541,3.312,1.08,2.654,1.311,0,0,0,0,0,0,0,0,0
201601010030 ,120.458,45.1,112.802,3.579,7.862,2.724,0.368,2.393,0.119,2.512,-0.693,0,0,0,0,0,0,0,0,0
201601010045 ,144.644,44.2,130.485,3.93,2.481,4.872,5.436,4.093,3.658,3.332,2.584,0,0,0,0,0,0,0,0,0
201601010100 ,139.243,43.1,136.852,3.04,0.884,2.691,0.766,2.785,0.587,2.707,0.154,0,0,0,0,0,0,0,0,0
201601010115 ,129.036,42.2,114.577,4.399,2.852,4.058,3.723,5.104,6.231,4.056,1.653,0,0,0,0,0,0,0,0,0
201601010130 ,137.342,41.3,128.61,2.77,2.606,2.659,-0.29,3.743,2.381,3.579,4.035,0,0,0,0,0,0,0,0,0
201601010145 ,147.135,40.4,126.749,5.582,4.331,4.958,8.037,3.579,1.064,4.86,6.954,0,0,0,0,0,0,0,0,0
201601010200 ,117.61,39.7,115.586,3.051,-0.3,3.113,1.723,3.375,0.869,3.09,-0.268,0,0,0,0,0,0,0,0,0
201601010215 ,113.366,39.1,91.8,4.16,1.477,4.53,5.237,4.882,7.893,4.568,6.959,0,0,0,0,0,0,0,0,0
201601010230 ,124.026,38.4,101.6,3.79,-0.275,4.416,5.156,4.279,4.774,5.706,12.771,0,0,0,0,0,0,0,0,0
201601010245 ,127.263,37.5,116.53,3.958,1.025,3.286,2.917,3.716,2.794,4.429,3.997,0,0,0,0,0,0,0,0,0
201601010300 ,125.945,36.6,95.039,4.729,0.932,4.961,7.632,5.275,9.467,6.73,12.875,0,0,0,0,0,0,0,0,0
201601010315 ,114.238,35.7,98.605,3.511,0.974,3.98,2.625,4.995,6.442,4.412,5.592,0,0,0,0,0,0,0,0,0
201601010330 ,114.602,34.9,107.441,2.712,1.686,3.049,1.021,3.876,1.974,3.811,2.48,0,0,0,0,0,0,0,0,0
201601010345 ,115.067,34.1,99.417,3.818,2.886,3.576,4.111,3.395,2.218,5.2,6.435,0,0,0,0,0,0,0,0,0
201601010400 ,123.926,33.1,103.498,3.639,3.871,3.997,3.69,4.162,7.557,4.532,5.31,0,0,0,0,0,0,0,0,0
201601010415 ,120.204,32.1,112.623,4.248,1.839,4.197,3.716,2.632,0.211,3.455,1.815,0,0,0,0,0,0,0,0,0
201601010430 ,104.962,31.3,101.768,2.878,0.753,2.682,0.246,3.569,2.377,2.324,-0.182,0,0,0,0,0,0,0,0,0
201601010445 ,114.02,30.4,105.853,3.017,2.374,3.434,1.907,3.055,1.919,3.388,1.967,0,0,0,0,0,0,0,0,0
201601010500 ,106.033,29.5,100.181,3.022,0.59,3.393,1.113,3.336,2.157,3.458,1.992,0,0,0,0,0,0,0,0,0
201601010515 ,113.236,28.7,89.235,2.712,20.806,2.726,0.434,3.234,0.901,3.088,1.86,0,0,0,0,0,0,0,0,0
201601010530 ,108.81,27.8,98.395,3.038,10.483,3.032,0.346,2.56,-0.375,2.47,-0.039,0,0,0,0,0,0,0,0,0
201601010545 ,105.241,27,80.372,3.163,19.434,4.06,3.369,3.204,1.503,2.648,0.563,0,0,0,0,0,0,0,0,0
201601010600 ,117.505,26.2,52.422,5.053,47.7,5.241,7.293,4.53,5.416,4.455,4.674,0,0,0,0,0,0,0,0,0
201601010615 ,119.942,25.4,80.28,4.958,20.203,5.191,7.739,4.867,6.957,4.905,4.763,0,0,0,0,0,0,0,0,0
201601010630 ,132.755,24.5,55.987,5.286,54.944,4.67,5.999,4.211,6.691,4.707,9.134,0,0,0,0,0,0,0,0,0
201601010645 ,124.504,23.6,74.111,5.172,23.048,5.815,10.419,4.752,9.768,4.397,7.158,0,0,0,0,0,0,0,0,0
201601010700 ,142.347,22.7,124.049,3.741,7.967,4.301,5.037,3.574,2.194,3.934,3.1,0,0,0,0,0,0,0,0,0
201601010715 ,133.788,21.8,12.2,3.901,24.022,4.289,4.361,4.238,4.809,4.371,3.978,0,0,0,0,0,0,0,84.418,0
201601010730 ,137.402,21.4,32.048,4.446,24.177,4.463,5.402,3.003,0.708,2.761,0.562,0,0,0,0,0,0,0,74.505,0
201601010745 ,151.978,21,15.662,4.289,42.505,4.609,7.449,4.956,8.225,3.864,4.067,0,0,0,0,0,0,0,74.07,0
201601010800 ,146.281,20.6,44.348,5.197,8.62,5.189,9.143,4.429,5.495,4.63,5.483,0,0,0,0,0,0,0,73.192,0
201601010815 ,172.619,18,11.561,5.358,47.703,5.139,7.554,4.05,5.246,4.915,5.35,0,0,0.7,1.8,1.5,0.8,0,90.405,0
201601010830 ,160.012,16.7,31.489,3.927,14.777,4.378,5.491,3.672,3.829,4.539,4.815,0,0,1,2.2,1.8,1.2,0,93.411,0
201601010845 ,140.338,16.4,9.577,2.348,28.761,2.619,-0.23,3.048,1.705,3.064,0.866,1,0,1.4,2.6,2.3,1.8,0,91.559,0
201601010900 ,137.736,16,-16.222,2.77,51.531,2.749,-0.309,2.864,1.122,3.068,1.257,5,3,1.4,3.7,3,2.3,0,89.957,0
201601010915 ,129.838,16.1,-67.901,4.203,12.23,3.576,2.626,3.292,2.682,3.503,1.876,15,11,2.2,5.8,3.7,2.9,79.4,84.325,0
201601010930 ,124.952,16.6,-68.508,2.531,11.209,2.598,0.087,2.744,0.979,2.81,0.678,46,45,4.1,8,7.6,5.1,73.609,82.098,0
201601010945 ,122.009,17,-64.193,2.994,1.004,3.264,1.605,3.571,2.208,2.642,-0.054,38,38,4.4,13.5,7.5,6.2,70.065,79.774,0
201601011000 ,115.656,17.5,-83.683,2.642,11.44,3.289,0.41,2.601,-0.268,2.656,0.175,67,62,7.1,12.6,9.9,8.2,68.996,80.786,0
201601011015 ,121.196,18,-80.941,3.036,18.662,3.132,0.949,1.803,-0.02,2.713,-0.576,61,57,5.8,13.5,9.5,7.9,67.594,78.828,0
201601011030 ,118.86,18.6,-114.524,2.482,29.605,2.04,-0.022,1.99,-0.022,2.209,-0.021,112,112,9.8,17.8,15.2,12.1,67.797,81.147,0
201601011045 ,125.88,19.3,-113.88,3.039,26.145,4.079,4.016,4.733,6.705,3.65,0.37,118,126,9.3,17.8,17.1,12.7,65.484,80.14,0
201601011100 ,114.676,20,-124.079,3.649,24.855,3.588,1.727,3.039,0.152,2.645,0.029,137,147,11.3,18.7,19.3,14.3,66.673,81.719,0
201601011115 ,95.53,20.9,-151.834,3.408,27.794,3.887,3.122,4.297,2.78,3.583,1.412,104,106,10.7,22.5,17.5,14.3,66.37,80.886,0
201601011130 ,91.871,22.4,-252.039,2.248,31.454,2.651,-0.022,3.221,0.332,1.811,-0.02,454,656,36,28.1,60.9,45,63.201,78.965,0
201601011145 ,96.145,23.4,-52.384,2.767,11.525,3.045,-0.347,4.299,3.459,2.256,-1.231,116,126,15.4,22.4,19.4,16.1,61.823,0,0
201601011200 ,84.032,24.5,-210.933,2.477,59.823,1.612,-0.021,4.19,2.013,4.066,2.3,460,680,33.2,28.9,63,45,60.75,0,0
201601011215 ,87.965,25.6,-118.148,2.724,20.289,2.647,0.457,2.203,-0.526,2.502,-0.428,267,387,18.1,69.7,22,15.1,61.421,0,0
201601011230 ,84.917,26.3,-154.448,1.564,42.832,3.003,-0.021,2.105,-0.023,2.426,-0.022,143,183,17.8,72.6,24,20.6,61.599,0,0
201601011245 ,73.911,27.1,-136.091,1.456,45.341,0.001,-0.021,0.001,-0.022,1.7,-0.022,287,400,16,31.6,36,21.1,60.026,0,0
201601011300 ,133.645,28,-189.032,1.934,60.831,1.695,-0.023,1.696,-0.023,1.575,-0.023,412,629,35.4,75.7,59.5,30.8,60.515,0,0
201601011315 ,127.415,28.9,-129.529,0.001,23.08,1.829,-0.021,0.001,-0.021,2.067,-0.021,265,393,29.9,72.9,39.6,31.9,59.627,0,0
201601011330 ,165.448,30,-142.582,3.559,51.152,3.289,-0.022,3.145,0.922,2.654,0.614,457,698,36.4,75.8,62.7,19.8,60.664,0,0
201601011345 ,97.868,31.1,-180.142,2.684,18.112,3.483,0.927,4.297,-0.022,2.17,-0.022,380,596,32.7,73.9,55.5,37.1,59.815,0,0
201601011400 ,78.428,32.1,-96.995,2.987,12.824,2.413,-0.401,3.468,0.439,2.764,-0.001,178,209,21.7,34.4,26.9,18.7,60.862,0,0
201601011415 ,140.697,33.2,-159.127,2.613,16.313,1.936,-0.023,3.139,-0.637,3.512,0.54,487,704,34.8,83.9,63.2,41.8,59.931,0,0
201601011430 ,98.206,33.9,-118.082,3.038,6.709,3.967,1.828,5.349,8.805,3.729,3.062,119,148,29.3,70.4,20.6,14.8,60.784,0,0
201601011445 ,107.382,36,-32.492,3.332,-0.021,3.05,0.279,2.072,-0.019,2.094,-0.02,177,261,10.4,19.9,26.5,24.2,58.655,0,0
201601011500 ,108.042,36.9,-131.735,3.435,-0.021,3.947,3.567,3.044,0.937,2.096,-1.393,394,577,29.7,60.5,52.9,32.8,60.787,0,0
201601011515 ,103.394,39.4,-33.461,3.352,1.372,3.145,0.437,2.397,-0.02,1.924,-0.019,80,88,11.9,35.3,14.6,11.9,61.385,0,0
201601011530 ,116.989,40,-82.806,2.328,0.367,2.634,-0.754,3.01,-0.181,4.435,4.407,291,191,24.9,45.1,41.7,23.7,60.556,0,0
201601011545 ,123.641,40.6,-44.833,5.01,-0.014,3.468,1.393,2.333,-0.193,2.832,-0.001,55,52,17.8,40.8,30.7,17.4,60.589,0,0
201601011600 ,120.236,41.4,-17.244,5.75,-0.02,4.55,7.327,2.553,0.018,2.552,-0.038,47,55,10.6,17.8,28.7,11.9,61.193,0,0
201601011615 ,140.54,41.6,14.79,2.795,1.192,1.8,-0.021,1.501,-0.022,2.361,-0.022,39,45,4.1,36.2,14.9,8.6,60.823,0,0
201601011630 ,143.546,41.6,4.732,4.649,0.87,5.079,14.508,4.225,4.03,4.698,7.567,27,27,3.1,28,15,4.3,61.439,0,0
201601011645 ,138.661,41.4,30.191,3.113,4.385,3.077,0.618,1.924,-0.019,1.611,-0.02,30,35,3.7,17.8,16.2,5.5,60.306,0,0
201601011700 ,125.806,41.3,39.441,4.902,0.559,4.584,5.108,3.943,2.724,3.625,1.541,0,1,1.4,3.7,8,2.5,60.833,0,0
201601011715 ,123.727,40.8,45.314,4.24,-0.668,4.736,6.508,3.372,1.637,2.651,-0.817,7,7,1.5,4.1,3.4,2.1,60.653,0,0
201601011730 ,133.465,40.3,65.877,2.813,-0.021,2.722,0.763,2.454,0.445,1.696,-0.02,0,0,1,2.2,1.8,1.1,60.321,0,0
201601011745 ,146.236,39.7,80.688,3.505,-0.021,2.611,-0.024,2.175,-0.023,2.224,-0.057,0,0,0.7,1.8,1.6,0.9,60.673,0,0
201601011800 ,135.286,39.1,73.853,6.145,-0.022,3.429,0.88,2.261,-0.891,1.547,-0.023,0,0,0,0,0,0,61.489,0,0
201601011815 ,138.366,38.5,71.965,5.312,-0.019,2.966,0.991,1.842,0,2.414,-0.001,0,0,0,0,0,0,65.43,0,0
201601011830 ,155.375,37.9,88.845,3.248,-0.024,3.582,1.094,2.186,-0.829,1.835,-0.001,0,0,0,0,0,0,66.29,0,0
201601011845 ,139.037,37.2,72.126,3.13,-0.021,2.642,-0.023,2.878,1.318,3.414,-0.022,0,0,0,0,0,0,65.659,0,0
201601011900 ,131.353,36.7,64.704,3.432,-0.586,3.514,2.087,2.927,1.234,2.106,-1.024,0,0,0,0,0,0,64.938,0,0
201601011915 ,135.053,36.1,70.372,3.896,0.684,2.65,-0.74,1.981,-1.356,2.578,-0.094,0,0,0,0,0,0,66.187,0,0
201601011930 ,140.99,35.5,61.053,4.091,-0.253,4.86,6.766,3.903,5.147,2.896,0.887,0,0,0,0,0,0,67.39,0,0
201601011945 ,143.685,34.8,76.663,2.559,2.186,2.184,-0.793,1.925,-0.023,1.798,-0.022,0,0,0,0,0,0,65.674,0,0
201601012000 ,143.198,34.2,72.562,2.048,4.792,2.169,-0.021,2.943,-0.022,2.38,-0.084,0,0,0,0,0,0,65.971,0,0
201601012015 ,135.252,33.6,51.48,2.334,18.51,1.857,-0.023,1.568,-0.023,1.611,-0.023,0,0,0,0,0,0,65.331,0,0
201601012030 ,139.323,32.9,41.222,3.668,28.008,3.652,2.454,2.261,-0.02,3.215,-0.019,0,0,0,0,0,0,67.678,0,0
201601012045 ,151.619,30.5,-43.204,4.248,38.404,3.395,2.718,2.327,-0.021,2.402,-0.019,0,0,0,0,0,0,66.126,87.615,0
201601012100 ,143.324,30.3,-8.396,2.565,0,2.509,-0.073,2.091,-0.02,2.01,-0.022,0,0,0,0,0,0,66.49,85.345,0
201601012115 ,140.365,30.3,-10.318,2.706,0,3.028,0.744,2.261,-0.018,2.363,-0.02,0,0,0,0,0,0,64.918,85.059,0
201601012130 ,136.11,30.3,-13.15,2.936,0,3.434,0.886,2.307,-0.159,2.433,-0.422,0,0,0,0,0,0,64.848,84.107,0
201601012145 ,136.218,30.3,-12.871,3.193,0,2.334,-0.386,2.48,-0.084,3.266,1.781,0,0,0,0,0,0,64.102,83.676,0
201601012200 ,128.246,30.3,-20.198,2.641,0,2.505,-0.525,2.103,-0.734,2.644,-0.075,0,0,0,0,0,0,64.569,85.209,0
201601012215 ,136.864,30.3,-19.784,3.449,0,3.882,1.564,3.46,3.488,3.019,1.86,0,0,0,0,0,0,65.236,84.5,0
201601012230 ,112.459,30.3,-37.254,3.535,-0.001,2.68,-0.004,3.045,0.436,1.837,-0.001,0,0,0,0,0,0,66.182,83.101,0
201601012245 ,136.632,30.3,-8.709,2.323,0,2.156,-0.021,2.101,-0.022,2.161,-0.022,0,0,0,0,0,0,64.29,81.116,0
201601012300 ,146.106,30.4,-6.744,2.57,4.899,2.627,-0.137,2.881,-0.172,2.545,-0.573,0,0,0,0,0,0,65.037,83.796,0
201601012315 ,142.409,30.4,-11.741,2.49,5.425,2.647,-0.264,1.612,-0.021,1.835,-0.022,0,0,0,0,0,0,65.46,83.572,0
201601012330 ,139.947,30.4,-10.28,1.996,0.806,2.495,0.147,2.527,-0.018,1.922,-0.019,0,0,0,0,0,0,64.937,84.374,0
201601012345 ,136.134,30.4,-12.164,1.611,-0.053,1.55,-0.02,1.997,-0.021,1.5,-0.02,0,0,0,0,0,0,63.167,85.245,0
201601020000 ,131.838,30.4,-19.808,2.119,2.297,1.932,-0.024,2.102,-0.025,1.924,-0.023,0,0,0,0,0,0,65.002,84.419,0
201601020015 ,125.417,30.4,-24.514,2.25,2.092,2.338,-0.023,2.106,-0.023,2.103,-0.022,0,0,0,0,0,0,63.47,84.437,0
201601020030 ,139.639,30.5,-14.71,1.698,2.7,1.797,-0.025,1.904,-0.024,1.796,-0.024,0,0,0,0,0,0,65.45,86.272,0
201601020045 ,137.26,30.6,-13.995,1.694,1.279,1.784,-0.019,1.697,-0.02,1.71,-0.021,0,0,0,0,0,0,65.345,84.691,0
201601020100 ,137.966,30.6,-11.439,1.61,-1.072,1.754,-0.022,1.612,-0.023,1.987,-0.021,0,0,0,0,0,0,65.26,85.283,0
201601020115 ,138.572,30.8,-19.137,1.801,9.219,1.818,-0.021,1.758,-0.021,1.799,-0.021,0,0,0,0,0,0,63.624,84.929,0
201601020130 ,101.617,31.5,-50.716,1.972,0,2.12,-0.021,1.78,-0.022,2.107,-0.022,0,0,0,0,0,0,65.38,87.018,0
201601020145 ,112.109,31.7,-39.616,0.001,0,0.001,-0.021,0,-0.021,0.001,-0.021,0,0,0,0,0,0,65.808,85.98,0
201601020200 ,116.443,32.6,-35.913,1.499,0,1.697,-0.021,0.001,-0.022,1.651,-0.022,0,0,0,0,0,0,66.305,86.116,0
201601020215 ,123.122,33,-28.514,0.001,0,0.001,-0.021,0.001,-0.022,0.001,-0.021,0,0,0,0,0,0,65.295,86.405,0
201601020230 ,113.992,33.4,-39.516,0.001,0,0.001,-0.02,0,-0.021,0.001,-0.02,0,0,0,0,0,0,66.121,87.448,0
201601020245 ,112.97,33.8,-35.411,1.61,0,1.549,-0.022,0.001,-0.022,1.5,-0.022,0,0,0,0,0,0,64.584,83.863,0
201601020300 ,123.443,34.1,-23.924,1.797,0,1.811,-0.019,0.001,-0.021,1.88,-0.019,0,0,0,0,0,0,63.673,83.753,0
201601020315 ,98.727,34.5,-52.318,2.044,0,2.324,-0.021,2.286,-0.021,2.109,-0.021,0,0,0,0,0,0,65.689,85.419,0
201601020330 ,111.881,35.1,-36.209,3.009,0,2.33,-0.025,1.797,-0.023,3.312,-0.024,0,0,0,0,0,0,64.713,83.449,0
201601020345 ,117.923,35.4,-38.052,4.892,0,4.563,5.099,2.745,0.296,2.725,-0.222,0,0,0,0,0,0,65.141,85.661,0
201601020400 ,114.231,35.7,-42.801,3.572,0,4.023,1.988,3.815,3.206,3.909,2.686,0,0,0,0,0,0,62.618,86.534,0
201601020415 ,135.479,36.1,-22.521,4.305,0,3.502,2.315,2.71,0.188,3.582,3.59,0,0,0,0,0,0,65.022,86.885,0
201601020430 ,127.808,36.7,-38.808,4.099,0,4.287,2.74,4.84,6.984,4.466,8.189,0,0,0,0,0,0,63.415,85.288,0
201601020445 ,135.598,37,-18.936,5.283,0,4.227,2.197,2.806,-0.353,2.821,1.325,0,0,0,0,0,0,64.639,86.726,0
201601020500 ,108.71,37.3,-48.083,5.498,0,4.731,5.678,2.937,2.08,2.78,-0.38,0,0,0,0,0,0,63.168,86.247,0
201601020515 ,117.289,37.6,-32.471,4.287,0,2.676,-0.233,2.147,-1.168,1.966,-0.022,0,0,0,0,0,0,64.733,86.45,0
201601020530 ,119.027,38.4,-32.701,2.683,1.127,2.334,-0.229,2.33,-0.022,1.869,-0.023,0,0,0,0,0,0,65.232,85.643,0
201601020545 ,111.663,38.7,-47.442,2.957,-0.699,3.365,0.981,3.383,2.417,3.9,4.053,0,0,0,0,0,0,65.663,86.69,0
201601020600 ,141.111,39.1,-16.412,3.679,1.104,3.004,1.082,2.683,-0.015,3.642,4.218,0,0,0,0,0,0,64.937,86.197,0
201601020615 ,123.286,39.6,-33.373,3.045,3.962,3.493,2.508,1.925,-0.001,1.816,-0.01,0,0,0,0,0,0,63.858,86.342,0
201601020630 ,138.409,39.8,-23.643,4.359,3.268,3.701,2.768,3.059,0.943,3.639,2.516,0,0,0,0,0,0,65.311,87.246,0
201601020645 ,124.714,39.8,-30.918,3.568,-0.92,3.932,2.154,3.31,1.395,3.102,1.213,0,0,0,0,0,0,64.474,87.316,0
201601020700 ,150.025,40,-2.908,3.568,-0.037,3.934,3.13,2.789,-0.054,3.12,0.345,0,0,0,0,0,0,64.614,84.935,0
201601020715 ,122.982,40,-27.161,3.05,-0.02,2.87,0.775,2.666,-0.138,3.041,1.007,0,0,0,0,0,0,63.883,84.636,0
201601020730 ,129.11,39.9,39.783,1.963,1.605,2.067,-0.021,2.133,-0.022,2.5,-0.021,0,0,0,0,0,0,0,87.786,0
201601020745 ,116.749,39.8,28.611,1.927,-0.021,2.152,-0.023,2.103,-0.023,2.164,-0.022,0,0,0,0,0,0,0,88.227,0
201601020800 ,101.57,39.7,15.11,1.697,-0.021,1.962,-0.024,1.612,-0.023,1.746,-0.023,0,0,0,0,0,0,0,86.551,0
201601020815 ,102.847,39.4,6.501,1.927,7.936,2.028,-0.241,1.947,-0.295,2.188,-0.24,0,0,0,0,0,0,0,89.186,0
201601020830 ,112.635,38.8,15.831,2.56,0.777,2.548,-0.088,2.175,-0.298,2.512,-0.522,0,0,0.9,2,2,1.2,0,90.835,0
201601020845 ,120.505,38.4,19.135,2.1,0.395,2.131,-0.831,2.192,-0.478,2.386,-0.499,16,15,2.3,4.9,3.4,3.2,0,88.983,0
201601020900 ,116.861,38,6.18,1.796,4.845,1.858,-0.022,2.055,-0.023,2.105,-0.022,17,15,2.6,5.9,4.6,3.5,0,89.303,0
201601020915 ,121.769,37.4,5.455,2.393,6.928,2.333,-0.021,2.329,-0.022,2.329,-0.02,20,18,2.6,6.6,5.2,4.3,0,90.749,0
201601020930 ,108.418,37.4,-48.104,1.417,18.838,1.801,-0.022,1.699,-0.022,2.002,-0.023,62,68,8,18.5,11.6,10.7,0,88.951,0
201601020945 ,124.76,37.6,-26.588,0.001,6.375,1.746,-0.021,1.756,-0.021,2.18,-0.02,67,74,9.7,19.2,16.8,13.6,0,85.735,0
201601021000 ,87.439,37.9,-74.767,1.522,14.445,1.548,-0.022,1.531,-0.021,1.586,-0.02,97,100,9.2,19.1,16.1,14,0,89.424,0
201601021015 ,108.315,39.1,-57.797,1.8,30.944,1.993,-0.021,1.804,-0.021,2.13,-0.021,80,80,7.7,15.5,12.5,11.1,0,88.431,0
201601021030 ,107.799,39.3,-57.351,1.501,18.608,1.518,-0.022,0.001,-0.021,1.417,-0.022,102,96,8,20.6,17.2,11.6,0,89.207,0
201601021045 ,99.305,40.1,-44.404,1.457,0,0.001,-0.022,1.697,-0.022,1.549,-0.021,107,106,8.7,18.3,15.3,11.4,0,90.074,0
201601021100 ,103.376,40.5,-33.867,1.5,0,0.001,-0.02,1.582,-0.02,1.61,-0.02,92,90,7.8,15.7,13.4,9.6,0,90.803,0
201601021115 ,100.213,40.8,-90.017,1.61,0,1.562,-0.021,0.001,-0.021,1.797,-0.02,155,190,16.1,40.7,23.5,20.6,0,89.392,0
201601021130 ,100.422,41.6,-159.597,1.957,0,2.166,-0.023,1.61,-0.022,2.8,-0.022,303,438,23.1,63.2,49.1,34.1,0,90.586,0
201601021145 ,103.075,42.2,-59.642,3.147,0,3.797,-1.03,4.162,2.488,3.526,1.659,257,364,25.6,57.3,39.2,37.5,0,0,0
201601021200 ,97.954,42.3,-84.798,3.047,0,3.822,2.539,3.037,0.967,3.458,1.446,344,464,30.9,55.5,49.9,41.5,0,0,0
201601021215 ,114.223,43,-5.726,4.311,0,4.132,3.406,3.892,2.944,3.943,3.099,266,325,19,31.6,34.2,25.7,0,0,0
201601021230 ,101.06,43.2,32.293,3.602,0.001,3.859,3.162,3.965,4.141,4.237,4.163,116,118,9.2,20.4,15.9,11.8,0,0,0
201601021245 ,93.391,43.2,23.598,4.041,0,4.225,3.729,4.47,4.574,3.96,3.59,125,117,9.7,20.4,15.5,12.3,0,0,0
201601021300 ,92.716,43,-1.407,4.262,32.304,4.543,5.613,3.991,3.251,4.45,4.255,99,90,8,16.8,13.7,10.2,0,0,0
201601021315 ,104.002,43,-28.335,4.395,43.221,4.201,3.692,4.7,6.615,4.138,2.309,156,156,12.4,27.8,20.8,15.5,0,0,0
201601021330 ,98.775,43,-17.598,5.233,6.909,5.315,9.33,4.935,9.121,5.026,13.213,168,171,12.4,28.3,22,15.1,0,0,0
201601021345 ,87.425,43.1,-37.474,6.015,21.374,4.91,7.857,5.074,7.989,4.51,6.279,173,177,13.3,28.6,22.7,16.8,0,0,0
201601021400 ,98.309,43.1,-39.776,6.351,21.252,5.159,10.669,5.405,9.589,5.266,7.975,181,193,13.9,31.2,24.5,19,0,0,0
201601021415 ,117.976,43.3,-59.808,6.647,45.507,6.716,17.581,6.683,16.531,7.114,16.865,187,223,14,24.4,23.2,19.7,0,0,0
201601021430 ,120.897,43.2,-13.128,6.702,45.817,6.584,17.56,5.874,13.45,6.202,11.598,88,81,7.5,15.8,12.7,9.6,0,0,0
201601021445 ,119.022,43.2,17.287,6.059,16.398,6.642,14.79,5.17,8.389,3.866,4.158,116,117,9.5,20.4,16.3,11.8,0,0,0
201601021500 ,132.859,43,34.281,5.832,18.628,5.689,12.039,5.042,7.346,4.275,4.565,106,121,10.4,18.7,15.4,11.5,0,0,0
201601021515 ,167.704,42.7,33.375,6.237,5.335,6.248,14.645,4.855,8.492,5.258,11.057,216,297,17.3,30.4,29.8,17.3,0,0,0
201601021530 ,132.065,42.5,52.175,6.303,7.316,6.225,14.813,5.649,10.34,5.739,10.321,64,62,6.1,12,11.1,7.9,0,0,0
201601021545 ,127.512,42,73.105,6.071,2.847,5.364,9.746,5.225,7.407,5.148,7.107,50,45,4.1,9.5,8,5.7,0,0,0
201601021600 ,123.474,41.6,46.25,6.104,10.028,6.494,15.109,6.485,15.105,5.975,14.682,37,35,3.3,7.8,6.8,4.4,0,0,0
201601021615 ,116.159,41.2,35.163,5.588,29.625,4.563,7.814,5.106,8.916,6.291,13.241,26,23,3,7.3,6.5,4.6,0,0,0
201601021630 ,122.858,40.6,68.236,5.444,20.264,4.755,6.018,4.367,3.608,5.839,11.132,8,5,1.8,4.9,3.9,3,0,0,0
201601021645 ,124.858,39.9,70.4,5.367,19.859,4.961,6.116,5.808,8.823,5.935,9.06,3,2,1.5,3.7,3.1,2.3,0,0,0
201601021700 ,134.671,39,72.109,4.582,39.279,4.093,3.851,4.168,5.524,4.317,5.308,1,0,1.2,3.2,2.4,1.8,0,0,0
201601021715 ,126.279,38.3,73.349,4.452,29.296,4.563,5.385,4.748,6.874,2.911,1.875,1,1,1.4,3.5,2.9,1.7,0,0,0
201601021730 ,119.646,37.4,103.305,2.257,10.179,2.575,-0.338,2.642,-0.088,3.005,0.088,0,0,1,2.5,1.8,1.2,0,0,0
201601021745 ,136.474,36.4,110.981,2.669,21.987,2.655,0.103,2.105,-0.678,2.029,-0.019,0,0,0,1.7,1.5,0.9,0,0,0
201601021800 ,149.683,35.3,108.885,2.98,40.517,2.128,-0.219,2.076,-0.276,2.411,-0.224,0,0,0,0,1,0,0,0,0
201601021815 ,155.551,34,138.432,1.644,17.852,1.755,-0.227,1.862,-0.276,2.103,-0.23,0,0,0,0,0,0,0,0,0
201601021830 ,145.999,33.2,-22.532,1.868,83.376,1.924,-0.226,1.688,-0.283,2.098,-0.228,0,0,0,0,0,0,0,85.892,0
201601021845 ,152.075,32.6,30.516,2.005,44.794,1.699,-0.226,1.765,-0.278,1.924,-0.227,0,0,0,0,0,0,0,77.496,0
201601021900 ,152.612,32,56.604,2.31,5.123,1.987,-0.022,2.333,-0.46,2.327,-0.327,0,0,0,0,0,0,0,91.694,0
201601021915 ,153.159,31.4,45.372,2.215,18.267,2.046,-0.023,2.072,-0.771,2.43,-0.308,0,0,0,0,0,0,0,90.622,0
201601021930 ,147.895,30.9,46.823,2.007,11.59,2.103,-0.021,2.105,-0.021,2.484,0.242,0,0,0,0,0,0,0,89.282,0
201601021945 ,143.691,30.4,47.905,2.647,5.292,2.831,-0.108,2.702,0.62,3.37,1.606,0,0,0,0,0,0,0,88.376,0
201601022000 ,150.118,30,51.657,2.774,4.973,3.041,0.993,2.845,0.305,3.041,1.284,0,0,0,0,0,0,0,90.906,0
201601022015 ,149.227,29.5,53.722,2.33,5.173,2.302,-0.799,2.48,-0.02,2.724,0.121,0,0,0,0,0,0,0,91.03,0
201601022030 ,134.725,29.1,35.48,2.146,8.207,2.557,-0.179,2.604,0.305,2.332,-0.331,0,0,0,0,0,0,0,91.243,0
201601022045 ,143.57,28.6,41,2.702,10.271,2.559,-0.26,2.982,0.387,3.05,1.511,0,0,0,0,0,0,0,90.661,0
201601022100 ,142.986,28.2,47.674,1.609,2.965,1.475,-0.021,2.167,-0.021,2.856,0.52,0,0,0,0,0,0,0,91.869,0
201601022115 ,149.745,27.7,-7.632,2.165,-0.366,1.859,-0.019,2.856,0.23,2.835,0.98,0,0,0,0,0,0,65.326,91.226,0
